"","logFC","logCPM","PValue","FDR"
"lcl|AE014297.3_gene_3490",2.42774324334172,11.5450540074328,3.50552967841383e-37,6.18375435272199e-33
"lcl|AE013599.5_gene_619",-1.6199073940412,10.2479785818776,1.89538954276415e-17,1.67173357671798e-13
"lcl|AE014296.5_gene_99",1.17143369720235,10.3654857819569,4.48916416902335e-10,2.63962853138573e-06
"lcl|NC_004354.4_gene_1211",7.85223654634579,7.64821698093244,6.48357900926876e-10,2.85925834308752e-06
"lcl|AE014134.6_gene_791",-0.742785093548177,11.3051185638154,1.72060185556918e-09,6.07028334644808e-06
"lcl|AE014296.5_gene_1331",2.48042149568629,7.83617693452751,4.59103673978512e-08,0.000134976480149682
"lcl|AE014296.5_gene_2027",2.32395890483663,8.04994014429785,6.1474013343186e-08,0.000154914513624829
"lcl|AE014134.6_gene_792",-0.866719653495269,11.915277936196,1.70181079243234e-07,0.00037524927973133
"lcl|AE013599.5_gene_1304",3.83798277235897,6.99962023235744,2.6781304126874e-07,0.000524913560886731
"lcl|AE014296.5_gene_1982",0.915688539209891,11.3783040172893,3.26205918941314e-07,0.000575427241012477
"lcl|AE014297.3_gene_454",-0.624275636808446,11.6026273921172,3.64194159228087e-07,0.000584034997162132
"lcl|AE014297.3_gene_1164",-1.306191963525,9.05673844458374,1.17324980516738e-06,0.00172467721359605
"lcl|AE014134.6_gene_1246",0.862695295791058,11.3687320877965,1.86931957596361e-06,0.00253652287076909
"lcl|AE013599.5_gene_2178",-1.39161460038408,8.86654210461267,3.42804789962531e-06,0.00431934035352789
"lcl|AE014134.6_gene_2225",4.14857861057442,6.56039208334563,2.06439577377983e-05,0.0242772942996508
"lcl|AE014297.3_gene_3684",-1.35088503855672,8.53526085222802,3.07501580495802e-05,0.0339020492496622
"lcl|AE013599.5_gene_3309",3.36840676982519,6.65125477477997,3.6352837603946e-05,0.0349002012302211
"lcl|AE014134.6_gene_762",6.18524896405532,6.3060530151676,3.72380779902831e-05,0.0349002012302211
"lcl|AE014297.3_gene_832",1.37077191851395,8.74765473722909,3.7590919692415e-05,0.0349002012302211
"lcl|NC_004354.4_gene_571",0.692133551068049,10.3335422135468,5.39194160093314e-05,0.0475569249202303
"lcl|AE014297.3_gene_3931",-1.30675751781971,8.46351462214412,7.29060530231319e-05,0.0612410845394308
"lcl|AE014297.3_gene_449",-1.55105158566297,8.05107940301587,0.000104818824855858,0.0840456395662428
"lcl|AE014296.5_gene_2031",1.89726998042266,7.41554348622791,0.000175292480267713,0.13444171095315
"lcl|AE014297.3_gene_1714",-0.449928778991374,12.7373533992242,0.000202646540924141,0.148945207579244
"lcl|AE014134.6_gene_2020",0.866314690747009,9.78260794623269,0.000240209708549619,0.166975895538892
"lcl|AE013599.5_gene_3089",0.832655249347159,10.0671261972533,0.000246109596599275,0.166975895538892
"lcl|AE014296.5_gene_400",0.549709739412183,11.8033699588285,0.0004612895962657,0.301375869560257
"lcl|AE013599.5_gene_3585",5.614214607135,5.9284510199061,0.000496073379601263,0.312526229148796
"lcl|AE014134.6_gene_1411",0.404689050299788,11.4379654142566,0.000550388528381724,0.334788056574263
"lcl|AE014296.5_gene_1328",-3.6109750701615,6.19203776037563,0.000630187565656588,0.359235101815031
"lcl|AE014296.5_gene_2012",1.02534110913672,8.72673936477961,0.000642829225138044,0.359235101815031
"lcl|NC_004354.4_gene_1852",-0.768154217678327,9.54742102116966,0.000651673654086224,0.359235101815031
"lcl|AE013599.5_gene_1906",0.79941513593131,10.8010110892903,0.000743045716466898,0.396572834379029
"lcl|AE014297.3_gene_884",7.08274809332234,6.96829289524356,0.000764369408667063,0.396572834379029
"lcl|AE014134.6_gene_816",0.864565894050549,10.7928503450427,0.000817719393286426,0.412130574216359
"lcl|AE014134.6_gene_1628",0.650710152459217,11.25615896153,0.000926960919573698,0.454210850591112
"lcl|AE013599.5_gene_111",-0.691654047235682,11.1145202710845,0.00114686144857092,0.546773944670029
"lcl|AE013599.5_gene_926",-2.38802535350384,8.25554441551021,0.00120888355739805,0.561176472434252
"lcl|AE014134.6_gene_1111",-6.8249400355902,6.7068229596894,0.00128989993537837,0.562412219402768
"lcl|AE013599.5_gene_2836",0.701450430801764,9.86068193105847,0.00130625451222044,0.562412219402768
"lcl|AE014296.5_gene_2445",-2.39905017933488,6.69724706918785,0.00130719393398603,0.562412219402768
"lcl|AE014134.6_gene_281",1.52540971444627,7.49087049195833,0.00144223484565858,0.605738635176604
"lcl|AE013599.5_gene_1303",-1.61304020772582,8.32131086040345,0.00166454545107187,0.66065675586177
"lcl|AE014135.4_gene_68",-1.69216824852494,7.27614804806178,0.00170521341266539,0.66065675586177
"lcl|AE014297.3_gene_3044",1.177030940284,8.100457132052,0.00171466897177372,0.66065675586177
"lcl|NC_004354.4_gene_1591",0.821354291909075,9.15899821334358,0.00173852597502436,0.66065675586177
"lcl|AE014297.3_gene_3761",1.3561386439516,7.71579951699363,0.00176025326108295,0.66065675586177
"lcl|AE013599.5_gene_1998",5.35706380945579,5.77641356244468,0.00201261472291809,0.737885024975322
"lcl|AE014296.5_gene_1299",-5.35826476131787,5.77648612319266,0.00204968062493145,0.737885024975322
"lcl|AE013599.5_gene_222",-3.40582198942803,6.06472144215387,0.0021056249889759,0.742864496110698
"lcl|AE014134.6_gene_404",1.04739541662309,10.9415900826858,0.00219697211379519,0.759893884065631
"lcl|AE014297.3_gene_199",5.35752230446245,5.77667356867983,0.00228922854212455,0.776138234041607
"lcl|AE013599.5_gene_5",2.0817599561323,6.73679184372626,0.00233193460341299,0.776138234041607
"lcl|AE014297.3_gene_3015",5.60499681185938,5.92741997492438,0.00269692620816796,0.861952614003425
"lcl|AE014134.6_gene_1060",-1.52434862129463,7.38806066558254,0.00270478441611379,0.861952614003425
"lcl|NC_004354.4_gene_641",-0.492083763431896,12.5748757429313,0.00273635750477278,0.861952614003425
"lcl|AE013599.5_gene_2221",-1.01619582570792,8.39858202564742,0.00309811887456336,0.942442749028645
"lcl|AE014296.5_gene_944",-1.48567254651806,7.36243392567345,0.00312865247254525,0.942442749028645
"lcl|AE013599.5_gene_1510",0.868422642246475,8.74507100170618,0.00315216112203458,0.942442749028645
"lcl|AE014134.6_gene_1543",1.0415704816754,8.25038657397686,0.0033088802571289,0.972810795595896
"lcl|AE013599.5_gene_2674",-1.65669459752097,7.12653325417738,0.00342673509420082,0.990944378060697
"lcl|AE014297.3_gene_194",-3.29347630034986,5.99807619330912,0.00355433018040681,1
"lcl|AE013599.5_gene_2427",-0.800652869640233,10.8307338387228,0.00363311724760788,1
"lcl|AE014296.5_gene_3170",-1.89360176829505,6.81433289426575,0.00363471754853014,1
"lcl|AE014296.5_gene_1403",-6.29322778549549,6.31605519073106,0.00378472465656034,1
"lcl|AE014297.3_gene_1779",1.41024244968181,7.41370149703282,0.00379116716162059,1
"lcl|AE014296.5_gene_3417",1.98274249371378,7.03090948240968,0.00379829307103636,1
"lcl|AE014134.6_gene_994",3.29274432326945,5.99862108922925,0.00390517587611014,1
"lcl|AE014296.5_gene_195",5.20780690911194,5.69354221906518,0.00503936044232804,1
"lcl|AE014134.6_gene_1032",3.29530715585266,5.99887785103024,0.00508402197441555,1
"lcl|AE014296.5_gene_2474",-2.32178581345014,6.3595766412938,0.00518142653102329,1
"lcl|AE014296.5_gene_657",-0.849465970856837,9.48617138783866,0.00537095193637153,1
"lcl|NC_004354.4_gene_422",-2.09581459012887,6.73967946066939,0.00537143562190509,1
"lcl|AE014134.6_gene_527",-2.3250211670889,6.36300787565372,0.00596167386800431,1
"lcl|AE014134.6_gene_3100",-1.399450171323,7.30748740765798,0.00619951890050858,1
"lcl|AE014297.3_gene_783",-1.83795597860328,6.77901554906161,0.00637089886695675,1
"lcl|AE014296.5_gene_1152",0.801879523963805,8.7361416685061,0.00660451570928953,1
"lcl|AE013599.5_gene_2291",-0.350335526909258,11.8714883420366,0.00737136542889238,1
"lcl|AE014297.3_gene_713",-0.910463320767869,8.6479201508622,0.00740200406648004,1
"lcl|AE014296.5_gene_53",-1.37779474732135,7.48443047461416,0.00752054567196782,1
"lcl|AE013599.5_gene_1685",2.55696633425987,6.13002267943306,0.00776721360023398,1
"lcl|NC_024512.1_gene_7",1.58261873170975,8.95416161624209,0.00785245315228499,1
"lcl|AE014296.5_gene_1333",5.04390546530763,5.60645302656687,0.00792376723052384,1
"lcl|AE014134.6_gene_3101",-5.04501945368067,5.60650906085796,0.00799213334883573,1
"lcl|AE013599.5_gene_3551",-5.9311198217031,6.07308782760899,0.00816257699909003,1
