"","logFC","logCPM","PValue","FDR"
"YML123C",-4.59589382055247,9.03701287233358,0,0
"YGR234W",-3.95839116434566,7.9065873380955,0,0
"YMR120C",-3.39080533799629,8.25753234292904,0,0
"YER081W",3.37950840235471,9.29095108401219,0,0
"YDR077W",-3.36033402632088,11.4758031079416,0,0
"YDR033W",-3.16390021295817,8.30760367821776,0,0
"YDR342C",-2.97137760123572,11.0660287248202,0,0
"YFR015C",-2.82341386753328,9.24405681411558,0,0
"YLR058C",-2.68423018346091,8.95295421992686,0,0
"YCL030C",-2.34918546171022,8.7863900118414,0,0
"YOR153W",-2.05833557478015,9.30089314042383,0,0
"YHR092C",-2.02255792972421,9.86056298980352,0,0
"YFR053C",-1.51286636521322,10.2158051368273,0,0
"YHR174W",-1.09309004331226,13.9735903625961,0,0
"YAL038W",-1.00941039325827,13.2390940489031,0,0
"YGR192C",-0.653537696901305,14.731502995361,0,0
"YOL086C",-0.583681737311201,14.2387643009785,0,0
"YLR044C",-0.558390744903371,13.6370544527991,0,0
"YPL061W",-1.04865772234786,10.7380996932702,2.23666130293841e-314,6.96543417341529e-312
"YLL026W",-1.46251382654363,9.64418312867576,1.48890148692807e-292,4.40491504907671e-290
"YER067W",-1.93651636720773,8.75274203180301,1.38717908486229e-242,3.90854221196676e-240
"YJL052W",-1.04020398723561,10.4105605574609,3.05320696455864e-242,8.21173891331522e-240
"YPR160W",-2.23437548513764,8.29167573129516,1.86007218923191e-228,4.78523788855878e-226
"YHR215W",-5.14050253578733,7.47121682866931,9.46469474803513e-228,2.33344161767183e-225
"YLR258W",-1.89351180597336,8.79809898720525,6.04948218428752e-227,1.43179144337717e-224
"YAL005C",-1.08327464343391,10.4259949327142,6.20583480519913e-222,1.41230479009089e-219
"YJL159W",-0.558871871286446,12.1079214938616,4.90635145328103e-218,1.07521783515051e-215
"YKR080W",-3.22898459592804,7.59548380246945,3.62364825523994e-212,7.65754525937668e-210
"YDL229W",-0.700531049687449,11.355909525242,2.8828832566565e-210,5.88207594125396e-208
"YBR067C",-2.25386695727318,8.26918453961257,6.81583426982077e-199,1.34430971248432e-196
"YDR365W-B",-1.92317310238259,10.0977947497409,1.21135382877177e-197,2.31212277575567e-195
"R0010W",1.14896830106802,10.2462565918238,6.05416340833411e-196,1.11945265272228e-193
"R0020C",1.0965399831256,10.1657800539431,1.34257814966245e-185,2.40728330653113e-183
"YKR075C",1.36479405196698,9.42144303745985,1.64378939107282e-179,2.86067700793467e-177
"R0040C",1.27337896378709,9.9976957147091,3.31841206626552e-179,5.61001262745517e-177
"YER011W",-3.79391223210983,6.92141693268301,1.07989343415557e-178,1.77492484719402e-176
"YOL109W",-2.32341257939629,7.88807716544345,3.75790350051586e-177,6.00959865204118e-175
"YIL169C",-3.06512895379574,7.49238991920139,4.04324550875521e-176,6.29575886192226e-174
"YOL155C",-2.08508014880935,8.03145119434453,1.10346375517716e-168,1.67415257420084e-166
"YEL071W",1.65893773729375,8.97892538242873,2.4499112321797e-167,3.62403119020182e-165
"YAR009C",-2.68861446749374,8.94172621566858,1.75321241992874e-154,2.53018485090692e-152
"YPR145W",-1.33953676589143,9.31846847927175,1.67939730345651e-153,2.36595091536956e-151
"YHR219W",1.06670602922102,9.80102862460696,2.2782941664057e-148,3.13503874014477e-146
"YGL008C",-0.614065821461728,11.285418603068,8.81061736467642e-144,1.18482779424524e-141
"YDR345C",-0.523776004502583,11.6502816350797,1.20418678270989e-142,1.58337182073209e-140
"YGL234W",-1.44035637857164,8.8277393085337,1.40780442343765e-138,1.81086495075665e-136
"YLR327C",-1.89431170249218,8.22411494496136,2.32840869172009e-138,2.93131792104421e-136
"YLR154W-C",-0.950011197128545,10.1598123821085,1.6208262770214e-137,1.99800605856992e-135
"YMR008C",-1.92894489922047,7.90845152088038,1.44943917477385e-136,1.75027175451773e-134
"YCR005C",2.50926143962206,8.00154506088739,1.26641042697203e-135,1.4986700992787e-133
"YOR128C",-1.9029193325817,8.0020731589883,1.4496752321824e-134,1.68190751937711e-132
"YER138C",-2.44657606444523,9.86633500793938,1.96689020041869e-134,2.23809409920719e-132
"YPR036W-A",1.40707064563254,9.00449192840408,7.92360229745052e-133,8.84602920641787e-131
"YBR010W",1.39957256388319,9.11881816842317,1.74825521231746e-132,1.91563446134859e-130
"YMR173W",-1.30654876263642,8.86629010213475,2.31441580465853e-128,2.489890602939e-126
"YAL061W",-2.28521736445105,7.42669581860516,6.19917135769095e-128,6.55008873633168e-126
"YOR290C",-10.3360536856116,5.85299746007772,2.27774268900229e-127,2.36445675277659e-125
"YCL025C",-2.06442709759219,7.81322146376459,7.39516969255043e-126,7.54434811565878e-124
"YPR149W",-1.78178799095509,8.0354021059496,3.89798247955155e-124,3.90921395449263e-122
"YIL053W",0.586617105851056,11.218088226152,1.37008925824231e-121,1.35113635683663e-119
"R0030W",1.23846367560176,9.26381442959237,3.8436136162563e-118,3.72830520776861e-116
"YEL040W",-1.36056239354464,8.78508506748985,7.48426934466262e-116,7.14264866328528e-114
"YMR105C",-1.15911915197973,8.90558675555552,3.83275095304478e-111,3.59974403002634e-109
"YDR524W-C",2.17316972653465,7.79951538402082,2.13609078648917e-109,1.97488268494631e-107
"YKL152C",-0.327029482405729,12.9512262299392,4.27381064574851e-109,3.89048270629137e-107
