"","logFC","logCPM","PValue","FDR"
"YML123C",-4.5983992366504,9.00909513137587,0,0
"YGR234W",-3.93748384667335,7.8679922240391,0,0
"YER081W",3.3803973423551,9.28014947594446,0,0
"YDR077W",-3.35104393614506,11.4894705356106,0,0
"YMR120C",-3.30492747074926,8.23766383084938,0,0
"YDR033W",-3.1483000603324,8.27046170493306,0,0
"YDR342C",-2.95449345122034,11.071396118633,0,0
"YFR015C",-2.83324958425235,9.2335049820328,0,0
"YLR058C",-2.69513693891086,8.93567277008518,0,0
"YCL030C",-2.33222985525916,8.76961756911282,0,0
"YOR153W",-2.06484112211876,9.28032034001404,0,0
"YHR092C",-2.03335994078835,9.836842673383,0,0
"YDR365W-B",-1.95326934261851,10.0638078915591,0,0
"YFR053C",-1.51429110437932,10.20386656891,0,0
"YLL026W",-1.45662695666428,9.63431716373301,0,0
"YHR174W",-1.0800934301737,13.9803427479532,0,0
"YPL061W",-1.04386102245658,10.7377715277155,0,0
"YAL038W",-1.00210178757229,13.2461601762635,0,0
"YGR192C",-0.644925735496303,14.7464707356577,0,0
"YOL086C",-0.574231087221771,14.2629010240266,0,0
"YLR044C",-0.553959770354041,13.637878569396,0,0
"YJL052W",-1.02984070850249,10.4286941519147,2.19570178932798e-279,5.90543976702439e-277
"YER067W",-1.9304959197051,8.74334790608959,1.20639644310108e-272,3.10358597992568e-270
"YPR160W",-2.26404831724966,8.25765392608334,9.29891084193259e-265,2.2925689771548e-262
"YBR067C",-2.2754134616265,8.26914951921213,1.08396254723873e-260,2.56552255680462e-258
"YLR258W",-1.92745048536761,8.76262774325879,1.32521514853212e-253,3.01588385917867e-251
"YHR215W",-5.01480700469276,7.42843782844982,1.9566174663797e-240,4.28789094391433e-238
"YJL159W",-0.545066675384596,12.1320293002037,6.74080089783753e-237,1.4244756754466e-234
"R0040C",1.24256100564534,10.0168840156602,2.34202654966463e-233,4.77854175667779e-231
"YOR383C",0.738475290873367,11.4244572129304,1.06944512982609e-232,2.109302277727e-230
"YKR080W",-3.19711484132776,7.59226399737924,2.2550952437581e-226,4.30432211526344e-224
"YIL169C",-3.00441599727633,7.46465795059085,2.90311004663573e-211,5.36803192060737e-209
"YDL229W",-0.702571096650027,11.3385013089699,1.31701026262554e-209,2.3614393102895e-207
"R0020C",1.09226892480854,10.162184897176,6.03028054913922e-208,1.04944617674285e-205
"R0010W",1.14785411020114,10.2235864564857,8.55104588009284e-208,1.44561538492884e-205
"YAL005C",-1.08541239323969,10.4216432359056,2.15441754438127e-203,3.54102461391777e-201
"YKR075C",1.33887852650643,9.43585771556154,1.26815106835213e-198,2.02801347876744e-196
"YOL155C",-2.07654069475005,8.04524306813348,1.24738559026837e-196,1.9423106677942e-194
"YEL071W",1.62176898031391,8.95563404699123,3.14834061342779e-196,4.77659779734672e-194
"YER011W",-3.77809156382962,6.92463027779529,1.41450226840963e-195,2.09240248054495e-193
"YOL109W",-2.31365873174755,7.84554182466334,1.84109749407505e-191,2.65701801766879e-189
"YER138C",-2.42709992770419,9.79971563829109,8.89201872688497e-189,1.25271606683282e-186
"YGL008C",-0.621623855089566,11.2819511988416,8.43457203565194e-178,1.16063634267331e-175
"YOR374W",0.880280418003104,10.4991295490782,1.62276938251225e-175,2.18225600825568e-173
"YLR327C",-1.90784294838225,8.21887329807822,1.55832146204665e-172,2.04901957576223e-170
